timestamp,X,Y,Z
'19-Feb-2023 23:31:19.010',2.103317,-9.786331,1.861679
'19-Feb-2023 23:31:19.030',3.432098,-9.922791,0.880051
'19-Feb-2023 23:31:19.050',3.233368,-9.917999,0.247986
'19-Feb-2023 23:31:19.070',1.856705,-9.54451,-1.176559
'19-Feb-2023 23:31:19.090',1.332382,-9.38649,-1.763138
'19-Feb-2023 23:31:19.110',1.157608,-9.54451,-0.333801
'19-Feb-2023 23:31:19.130',1.14563,-9.743225,1.835342
'19-Feb-2023 23:31:19.150',1.705872,-9.496628,2.529663
'19-Feb-2023 23:31:19.170',2.41217,-9.048904,1.907166
'19-Feb-2023 23:31:19.190',2.888611,-8.673019,0.939911
'19-Feb-2023 23:31:19.210',2.823959,-8.584442,0.00856
'19-Feb-2023 23:31:19.230',2.481598,-9.187775,-0.084808
'19-Feb-2023 23:31:19.250',1.930923,-9.405655,0.444305
'19-Feb-2023 23:31:19.270',1.327591,-9.290726,0.633453
'19-Feb-2023 23:31:19.290',1.160004,-9.312271,0.300659
'19-Feb-2023 23:31:19.310',1.906982,-9.934769,0.34375
'19-Feb-2023 23:31:19.330',2.730591,-10.748795,0.623871
'19-Feb-2023 23:31:19.350',2.603699,-10.617111,-0.494217
'19-Feb-2023 23:31:19.370',1.71785,-10.19574,-0.795883
'19-Feb-2023 23:31:19.390',1.95726,-10.664993,1.660568
'19-Feb-2023 23:31:19.410',3.068176,-11.313828,1.485794
'19-Feb-2023 23:31:19.430',3.166336,-11.088776,-0.482239
'19-Feb-2023 23:31:19.450',2.443283,-10.358536,-0.601959
'19-Feb-2023 23:31:19.470',2.452866,-10.183762,0.626266
'19-Feb-2023 23:31:19.490',2.816788,-12.161377,2.407562
'19-Feb-2023 23:31:19.510',2.606094,-11.929138,-0.101563
'19-Feb-2023 23:31:19.530',2.742569,-11.074402,1.737183
'19-Feb-2023 23:31:19.550',2.148804,-9.458313,-0.147049
'19-Feb-2023 23:31:19.570',2.146408,-9.405655,-1.439926
'19-Feb-2023 23:31:19.590',1.454483,-10.09996,-0.850952
'19-Feb-2023 23:31:19.610',1.078598,-10.648239,0.250381
'19-Feb-2023 23:31:19.630',-0.171173,-11.012161,1.351715
'19-Feb-2023 23:31:19.650',-0.058655,-11.352127,-0.340988
'19-Feb-2023 23:31:19.670',0.815231,-11.220459,-2.273102
'19-Feb-2023 23:31:19.690',2.062607,-11.58197,-2.191711
